,GCM,RCM,RCP,ensemble,institute,Prec,RH,Rs,T,Tmax,Tmin,aP,u2,EToPM,EToPM2,EToHG,EToPT,EToSJ
GERICS.EC-EARTH.REMO2015.r12i1p1.rcp26,EC-EARTH,REMO2015,rcp26,r12i1p1,GERICS,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
GERICS.EC-EARTH.REMO2015.r1i1p1.rcp45,EC-EARTH,REMO2015,rcp45,r1i1p1,GERICS,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
GERICS.IPSL-CM5A-LR.REMO2015.r1i1p1.rcp26,IPSL-CM5A-LR,REMO2015,rcp26,r1i1p1,GERICS,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
GERICS.IPSL-CM5A-MR.REMO2015.r1i1p1.rcp85,IPSL-CM5A-MR,REMO2015,rcp85,r1i1p1,GERICS,111,111,111,111,111,111,111,111,11.0,11.0,11.0,11.0,11.0
GERICS.MIROC5.REMO2015.r1i1p1.rcp26,MIROC5,REMO2015,rcp26,r1i1p1,GERICS,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
GERICS.HadGEM2-ES.REMO2015.r1i1p1.rcp26,HadGEM2-ES,REMO2015,rcp26,r1i1p1,GERICS,111,111,111,111,111,111,111,111,111.0,11.0,11.0,11.0,11.0
GERICS.HadGEM2-ES.REMO2015.r1i1p1.rcp45,HadGEM2-ES,REMO2015,rcp45,r1i1p1,GERICS,111,111,111,111,111,111,111,111,111.0,111.0,11.0,11.0,11.0
GERICS.M-MPI-ESM-LR.REMO2015.r3i1p1.rcp85,M-MPI-ESM-LR,REMO2015,rcp85,r3i1p1,GERICS,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
GERICS.NorESM1-M.REMO2015.r1i1p1.rcp26,NorESM1-M,REMO2015,rcp26,r1i1p1,GERICS,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
GERICS.NorESM1-M.REMO2015.r1i1p1.rcp45,NorESM1-M,REMO2015,rcp45,r1i1p1,GERICS,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
GERICS.NorESM1-M.REMO2015.r1i1p1.rcp85,NorESM1-M,REMO2015,rcp85,r1i1p1,GERICS,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
GERICS.GFDL-GFDL-ESM2G.REMO2015.r1i1p1.rcp26,GFDL-GFDL-ESM2G,REMO2015,rcp26,r1i1p1,GERICS,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
KNMI.CERFACS-CNRM-CM5.RACMO22E.r1i1p1.rcp26,CERFACS-CNRM-CM5,RACMO22E,rcp26,r1i1p1,KNMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
KNMI.CERFACS-CNRM-CM5.RACMO22E.r1i1p1.rcp45,CERFACS-CNRM-CM5,RACMO22E,rcp45,r1i1p1,KNMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
KNMI.CERFACS-CNRM-CM5.RACMO22E.r1i1p1.rcp85,CERFACS-CNRM-CM5,RACMO22E,rcp85,r1i1p1,KNMI,111,111,111,111,111,111,111,11,11.0,11.0,111.0,111.0,11.0
KNMI.EC-EARTH.RACMO22E.r12i1p1.rcp26,EC-EARTH,RACMO22E,rcp26,r12i1p1,KNMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
KNMI.EC-EARTH.RACMO22E.r12i1p1.rcp45,EC-EARTH,RACMO22E,rcp45,r12i1p1,KNMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
KNMI.EC-EARTH.RACMO22E.r1i1p1.rcp45,EC-EARTH,RACMO22E,rcp45,r1i1p1,KNMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
KNMI.EC-EARTH.RACMO22E.r12i1p1.rcp85,EC-EARTH,RACMO22E,rcp85,r12i1p1,KNMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
KNMI.EC-EARTH.RACMO22E.r1i1p1.rcp85,EC-EARTH,RACMO22E,rcp85,r1i1p1,KNMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
